what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1540765013759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1540765016212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1540765060478
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1540765062525
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1540765070337
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1540765070462
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1540765070509
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1540765072884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1540765073478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1540765074603
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1540765074634
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1540765075634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1540765089025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1540765091587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1540765091681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1540765094290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1540765094353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1540765095681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1540765116728
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1540765125681
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1540765125900
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1540765126634
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1540765126790
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1540765128493
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1540765130837
